,Unnamed: 0,Equipe_Dom,Equipe_Ext,Score,Journee,Region
0,0,Bayonne,Lège-Cap-Ferret,1 - 0,1,Nouvelle Aquitaine
1,1,Bordeaux 2,Châtellerault,1 - 0,1,Nouvelle Aquitaine
2,2,Bressuire,Chauvigny,1 - 1,1,Nouvelle Aquitaine
3,3,Neuville,Tartas Sy,3 - 0,1,Nouvelle Aquitaine
4,4,Cognac,Libourne,1 - 4,1,Nouvelle Aquitaine
5,5,Poitiers,Stade Bordelais,2 - 3,1,Nouvelle Aquitaine
6,6,Niort (2),Anglet,2 - 0,1,Nouvelle Aquitaine
7,7,Bordeaux 2,Bressuire,2 - 1,2,Nouvelle Aquitaine
8,8,Chauvigny,Bayonne,2 - 0,2,Nouvelle Aquitaine
9,9,Anglet,Neuville,2 - 1,2,Nouvelle Aquitaine
10,10,Châtellerault,Libourne,0 - 0,2,Nouvelle Aquitaine
11,11,Stade Bordelais,Niort (2),1 - 0,2,Nouvelle Aquitaine
12,12,Lège-Cap-Ferret,Poitiers,0 - 0,2,Nouvelle Aquitaine
13,13,Tartas Sy,Cognac,6 - 1,2,Nouvelle Aquitaine
14,14,Bayonne,Bordeaux 2,0 - 4,3,Nouvelle Aquitaine
15,15,Bressuire,Châtellerault,5 - 1,3,Nouvelle Aquitaine
16,16,Neuville,Stade Bordelais,3 - 3,3,Nouvelle Aquitaine
17,17,Cognac,Anglet,1 - 1,3,Nouvelle Aquitaine
18,18,Libourne,Tartas Sy,3 - 3,3,Nouvelle Aquitaine
19,19,Poitiers,Chauvigny,3 - 2,3,Nouvelle Aquitaine
20,20,Niort (2),Lège-Cap-Ferret,3 - 0,3,Nouvelle Aquitaine
21,21,Bordeaux 2,Poitiers,3 - 0,4,Nouvelle Aquitaine
22,22,Chauvigny,Niort (2),3 - 0,4,Nouvelle Aquitaine
23,23,Anglet,Libourne,0 - 1,4,Nouvelle Aquitaine
24,24,Bressuire,Bayonne,1 - 1,4,Nouvelle Aquitaine
25,25,Châtellerault,Tartas Sy,1 - 1,4,Nouvelle Aquitaine
26,26,Stade Bordelais,Cognac,1 - 0,4,Nouvelle Aquitaine
27,27,Lège-Cap-Ferret,Neuville,1 - 2,4,Nouvelle Aquitaine
28,28,Bayonne,Châtellerault,1 - 0,5,Nouvelle Aquitaine
29,29,Neuville,Chauvigny,1 - 1,5,Nouvelle Aquitaine
30,30,Cognac,Lège-Cap-Ferret,2 - 2,5,Nouvelle Aquitaine
31,31,Libourne,Stade Bordelais,0 - 3,5,Nouvelle Aquitaine
32,32,Poitiers,Bressuire,6 - 0,5,Nouvelle Aquitaine
33,33,Niort (2),Bordeaux 2,0 - 1,5,Nouvelle Aquitaine
34,34,Tartas Sy,Anglet,2 - 1,5,Nouvelle Aquitaine
35,35,Bayonne,Poitiers,0 - 0,6,Nouvelle Aquitaine
36,36,Bordeaux 2,Neuville,1 - 1,6,Nouvelle Aquitaine
37,37,Bressuire,Niort (2),0 - 1,6,Nouvelle Aquitaine
38,38,Chauvigny,Cognac,6 - 1,6,Nouvelle Aquitaine
39,39,Châtellerault,Anglet,0 - 2,6,Nouvelle Aquitaine
40,40,Stade Bordelais,Tartas Sy,2 - 0,6,Nouvelle Aquitaine
41,41,Lège-Cap-Ferret,Libourne,2 - 2,6,Nouvelle Aquitaine
42,42,Cognac,Bordeaux 2,1 - 0,7,Nouvelle Aquitaine
43,43,Niort (2),Bayonne,3 - 0,7,Nouvelle Aquitaine
44,44,Tartas Sy,Lège-Cap-Ferret,2 - 2,7,Nouvelle Aquitaine
45,45,Chauvigny,Libourne,2 - 1,7,Nouvelle Aquitaine
46,46,Neuville,Bressuire,1 - 1,7,Nouvelle Aquitaine
47,47,Anglet,Stade Bordelais,2 - 0,7,Nouvelle Aquitaine
48,48,Poitiers,Châtellerault,1 - 1,7,Nouvelle Aquitaine
49,49,Libourne,Bordeaux 2,0 - 0,8,Nouvelle Aquitaine
50,50,Bayonne,Neuville,4 - 1,8,Nouvelle Aquitaine
51,51,Chauvigny,Tartas Sy,1 - 0,8,Nouvelle Aquitaine
52,52,Bressuire,Cognac,1 - 2,8,Nouvelle Aquitaine
